edges,prim_1,kruskal_1,prim_5,kruskal_5,prim_9,kruskal_9
270,0.004598700000000289,0.006045999999999996,0.00916629999999996,0.0060667000000003135,0.012563699999999844,0.0055043000000001285

280,0.004585300000000014,0.005806100000000036,0.009729199999999771,0.0061835000000001195,0.013031000000000237,0.005278600000000022

290,0.004648299999999939,0.006795100000000165,0.014421000000000017,0.007315600000000089,0.026601300000000272,0.007545799999999936

300,0.005049800000000104,0.007096699999999956,0.010261100000000134,0.006836700000000029,0.014928700000000461,0.006605500000000042

310,0.004917999999999978,0.007390700000000194,0.018053600000000003,0.01240479999999966,0.024603600000000725,0.010382100000000172

320,0.006626699999999985,0.011349300000000007,0.01581900000000047,0.010189000000000448,0.02874040000000022,0.013631899999999142

330,0.0073030000000002815,0.013663999999999454,0.013172299999999915,0.007983400000000529,0.01812989999999992,0.008369599999999977

340,0.0066784999999995875,0.007949699999999282,0.0132475000000003,0.009587699999999977,0.019699199999999806,0.009842499999999532

350,0.006835099999999983,0.00997350000000008,0.016377499999999934,0.010045400000000093,0.022422900000000467,0.014118099999999245

360,0.006621299999999941,0.011287300000000222,0.015039799999999381,0.009578799999999887,0.021802399999999444,0.011198399999999609

370,0.006917700000000693,0.011665800000000281,0.016851500000000463,0.009640699999999391,0.023633700000000424,0.010367300000000412

380,0.007143300000000075,0.010345599999999955,0.015772300000000072,0.009745800000000138,0.023314000000000057,0.010816199999999832

390,0.008123999999999576,0.012375600000000375,0.016015999999999586,0.010818699999999737,0.0253950000000005,0.011730500000000532

400,0.007274400000000014,0.012474599999999114,0.016873500000000874,0.014791999999999916,0.025453300000000567,0.012720899999999702

410,0.007598499999998509,0.011298200000000591,0.018700800000001294,0.015731900000000465,0.027657300000001328,0.013071300000000008

420,0.007758700000000118,0.012165599999999444,0.018576499999999996,0.01263670000000161,0.02960069999999959,0.013964500000000157

430,0.008044399999999285,0.014288399999999868,0.019282999999999717,0.012715700000001107,0.02957100000000068,0.01331279999999957

440,0.008548100000000503,0.01446660000000044,0.02003739999999965,0.015373699999999602,0.04518639999999863,0.022638399999999947

450,0.013187299999998459,0.02387270000000008,0.03008059999999979,0.020641400000000587,0.0328949999999999,0.016455199999999337

460,0.009358599999998773,0.015245099999999567,0.02203049999999962,0.016498600000000252,0.03350909999999985,0.021821600000000885

